step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,0,0.0,0.0,60.609057917322396,0,0.0,0.9952338038956363,0,0.0
10.0,0,0.0,0.0,60.77510285220797,0,0.0,0.9979603523331521,0,0.0
15.0,0,0.0,0.0,34.042424371695326,0,0.0,0.58388165351468,0,0.0
20.0,0,0.0,0.0,35.757531823295814,0,0.0,0.8719838184624197,0,0.0
25.0,0,0.0,0.0,36.49497960423313,0,0.0,0.976942612600715,0,0.0
30.0,0,0.0,0.0,12.464293852207966,0,0.0,0.9901328133835066,0,0.0
35.0,0,0.0,0.0,26.750891967613736,0,0.0,0.9840412165476042,0,0.0
40.0,0,0.0,0.0,27.32180798836568,0,0.0,0.9899563616944893,0,0.0
45.0,0,0.0,0.0,27.328528453663182,0,0.0,0.9905779350265904,0,0.0
50.0,0,0.0,0.0,29.396120208349004,0,0.0,0.9339259958501527,0,0.0
55.0,0,0.0,0.0,20.885179331019273,0,0.0,0.7210612286511616,0,0.0
60.0,0,0.0,0.0,22.232372952889758,0,0.0,0.9164055543952941,0,0.0
65.0,0,0.0,0.0,20.50900634442203,0,0.0,0.8726365290028353,0,0.0
70.0,1,1.0,0.1111111111111111,21.992011238331006,1,1.0,0.8411094988450921,1,1.0
75.0,1,6.0,0.6,25.170928137809305,1,5.0,0.8042972490797459,1,5.0
80.0,2,14.0,1.2727272727272727,23.310652334438206,2,13.0,0.7433568837850447,2,13.0
85.0,1,8.0,0.8,18.810728377250662,1,22.0,0.7186443276901746,1,22.0
90.0,1,13.0,1.1818181818181819,15.464080591327395,1,13.0,0.6577387679005288,1,13.0
95.0,3,8.0,0.7272727272727273,11.979482930798754,3,25.0,0.5322968959019609,3,25.0
100.0,2,16.0,1.4545454545454546,11.26922689448327,2,18.0,0.5359298362920938,2,18.0
105.0,2,16.0,1.4545454545454546,9.8679861154487,2,32.0,0.44694969194400386,2,32.0
110.0,2,14.0,1.2727272727272727,10.639444347343721,2,16.0,0.5550789590537047,2,16.0
115.0,4,26.0,2.0,11.117204587177223,4,28.0,0.3804964798917462,4,28.0
120.0,5,48.0,3.4285714285714284,13.86298475664808,5,50.0,0.43541149317365446,5,50.0
125.0,5,73.0,5.214285714285714,14.098026010043574,5,75.0,0.42386643834044013,5,75.0
130.0,5,98.0,6.125,15.568245389519532,5,100.0,0.4807488592375089,5,100.0
