step,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,TL_stopped,TL_accumulated_waiting_time,TL_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
5.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
10.0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
15.0,0,0.0,0.0,12.041924258994095,0,0.0,0.9145935462572099,0,0.0
20.0,0,0.0,0.0,13.085960516774747,0,0.0,0.9902650550724243,0,0.0
25.0,0,0.0,0.0,12.985153309778497,0,0.0,0.9832282875363957,0,0.0
30.0,0,0.0,0.0,12.81375568081389,0,0.0,0.9653226849133197,0,0.0
35.0,0,0.0,0.0,12.595110649910467,0,0.0,0.9435610533743344,0,0.0
40.0,0,0.0,0.0,13.059692210124819,0,0.0,0.979173965316799,0,0.0
45.0,0,0.0,0.0,13.021778646451432,0,0.0,0.9554821541568496,0,0.0
50.0,0,0.0,0.0,13.427955970935722,0,0.0,0.9818470770086024,0,0.0
55.0,0,0.0,0.0,13.00292407393226,0,0.0,0.9558700481630495,0,0.0
60.0,0,0.0,0.0,12.988151766167254,0,0.0,0.9412254428785312,0,0.0
65.0,0,0.0,0.0,13.279359328157957,0,0.0,0.9611414933581001,0,0.0
70.0,0,0.0,0.0,13.634895150000583,0,0.0,0.9813919108757797,0,0.0
75.0,0,0.0,0.0,12.578264942958826,0,0.0,0.8946190295240709,0,0.0
80.0,1,5.0,0.35714285714285715,12.721755163524636,1,5.0,0.9059472364271104,1,5.0
85.0,1,10.0,0.625,11.876040502943528,1,10.0,0.8366864909372919,1,10.0
90.0,2,18.0,1.125,11.511336455359624,2,18.0,0.8057737273647646,2,18.0
95.0,2,28.0,1.4,10.008038631006938,2,31.0,0.7320502689931155,2,31.0
100.0,3,43.0,1.7916666666666667,10.93550599102287,3,43.0,0.8076665984109811,3,43.0
105.0,0,0.0,0.0,11.801010991080846,0,55.0,0.8436149116941355,0,55.0
110.0,1,2.0,0.06896551724137931,11.826202033870855,1,2.0,0.9199542137672849,1,2.0
115.0,1,2.0,0.06896551724137931,11.831875729586981,1,8.0,0.8514115654308632,1,8.0
120.0,1,7.0,0.23333333333333334,12.554888179516155,1,7.0,0.9244209563112007,1,7.0
125.0,1,12.0,0.35294117647058826,12.490262997014776,1,12.0,0.8762843316748016,1,12.0
130.0,2,22.0,0.6470588235294118,12.521543402336572,2,22.0,0.8456933170306868,2,22.0
135.0,3,28.0,0.7567567567567568,12.327842238125358,3,37.0,0.8211100629503335,3,37.0
140.0,4,45.0,1.125,11.863282271025334,4,45.0,0.8102593129169793,4,45.0
145.0,4,59.0,1.4047619047619047,11.94401906838891,4,69.0,0.8166143147440976,4,69.0
150.0,6,83.0,1.8043478260869565,11.288064059172006,6,83.0,0.7686025466933791,6,83.0
155.0,10,80.0,1.7391304347826086,9.708808718044917,10,121.0,0.6250413727437124,10,121.0
160.0,12,120.0,2.3076923076923075,9.589354983006322,12,120.0,0.6490608780871615,12,120.0
165.0,13,184.0,3.4716981132075473,9.527761206368101,13,184.0,0.6471268727512596,13,184.0
170.0,10,152.0,2.7142857142857144,9.67958588694846,10,248.0,0.6652151389998033,10,248.0
175.0,10,190.0,3.3333333333333335,9.97912921507488,10,190.0,0.7330846882718242,10,190.0
180.0,11,241.0,3.8253968253968256,9.917894334106549,11,241.0,0.7051262933816267,11,241.0
185.0,14,305.0,4.6923076923076925,10.179052827900655,14,305.0,0.7058459332713526,14,305.0
190.0,15,341.0,4.736111111111111,10.04975531742783,15,376.0,0.6832629404475771,15,376.0
195.0,16,419.0,5.441558441558442,10.37301183269315,16,419.0,0.7212225779694348,16,419.0
200.0,15,471.0,5.962025316455696,10.185462610973401,15,498.0,0.7146477349945188,15,498.0
205.0,17,550.0,6.875,10.060439018964322,17,550.0,0.7007325911874126,17,550.0
210.0,18,638.0,7.686746987951807,10.272660237775693,18,638.0,0.7008853031109169,18,638.0
215.0,18,728.0,8.272727272727273,10.117085572586596,18,728.0,0.6742446698968418,18,728.0
220.0,22,832.0,8.666666666666666,9.808293861213281,22,832.0,0.6477368552185642,22,832.0
225.0,22,543.0,5.484848484848484,9.379781462174874,22,958.0,0.6149699262879652,22,958.0
230.0,14,114.0,1.1067961165048543,9.453663103948294,14,302.0,0.681563373169272,14,302.0
235.0,17,190.0,1.7592592592592593,9.990969530777807,17,245.0,0.7163250845312338,17,245.0
240.0,18,277.0,2.4954954954954953,10.462615100810629,18,277.0,0.7155820422957326,18,277.0
245.0,25,387.0,3.424778761061947,10.16039636341131,25,387.0,0.6373320072242286,25,387.0
250.0,29,496.0,4.168067226890757,9.914309966013176,29,527.0,0.6019775735952915,29,527.0
255.0,34,656.0,5.466666666666667,9.591981817297329,34,656.0,0.5808722401867519,34,656.0
260.0,35,816.0,6.528,9.420743484986826,35,836.0,0.5806947888888251,35,836.0
265.0,36,987.0,7.7109375,9.075678905670351,36,987.0,0.5666741894482742,36,987.0
270.0,42,1189.0,9.076335877862595,9.097634243600412,42,1189.0,0.5621540609020028,42,1189.0
275.0,43,1401.0,10.079136690647482,9.184131189229113,43,1401.0,0.5455637398395157,43,1401.0
280.0,46,1531.0,10.78169014084507,8.60140255218923,46,1628.0,0.4969315943353669,46,1628.0
285.0,49,1719.0,11.46,8.496353411368005,49,1719.0,0.5030709499891028,49,1719.0
290.0,53,1960.0,13.424657534246576,7.914653278652881,53,1984.0,0.4860335565820386,53,1984.0
295.0,54,2228.0,15.156462585034014,7.911746752168797,54,2228.0,0.49581260670092686,54,2228.0
300.0,59,2515.0,16.993243243243242,7.877234199315427,59,2515.0,0.48853945855426395,59,2515.0
305.0,62,2820.0,18.8,7.629650978760953,62,2820.0,0.4578240426026008,62,2820.0
310.0,66,3143.0,20.40909090909091,7.652682333955061,66,3143.0,0.4484193695356596,66,3143.0
315.0,70,3482.0,22.178343949044585,7.271381597752155,70,3482.0,0.41496009310273485,70,3482.0
320.0,73,3773.0,23.14723926380368,7.167531910300219,73,3849.0,0.40983245861753037,73,3849.0
325.0,74,4033.0,24.295180722891565,6.750273408594606,74,4076.0,0.39024932190201433,74,4076.0
330.0,80,4410.0,26.727272727272727,6.298645111707559,80,4472.0,0.3701245282949963,80,4472.0
335.0,82,4814.0,28.31764705882353,6.399044100424627,82,4857.0,0.3930994188669831,82,4857.0
340.0,85,5232.0,29.39325842696629,6.705329117364875,85,5275.0,0.39680139875478626,85,5275.0
345.0,87,5663.0,30.777173913043477,6.790000942584731,87,5706.0,0.3867876193080266,87,5706.0
350.0,92,6114.0,32.87096774193548,6.7761618824201575,92,6157.0,0.38378421964993636,92,6157.0
355.0,92,6527.0,34.17277486910995,6.616453691341921,92,6620.0,0.38018304301758055,92,6620.0
360.0,97,7000.0,35.8974358974359,6.571439981293578,97,7000.0,0.3896617253032531,97,7000.0
365.0,95,7473.0,36.8128078817734,6.733136934427983,95,7483.0,0.4055963768008148,95,7483.0
370.0,97,7951.0,38.59708737864078,6.880792328369241,97,7951.0,0.41564596090749173,97,7951.0
375.0,97,8436.0,39.981042654028435,7.0173329962235265,97,8436.0,0.40743840232362893,97,8436.0
380.0,103,8935.0,41.55813953488372,6.662573237108012,103,8939.0,0.37281025267533,103,8939.0
385.0,112,9475.0,43.2648401826484,6.3101271551405995,112,9475.0,0.3501026779806696,112,9475.0
390.0,118,10043.0,44.83482142857143,6.100864329792524,118,10054.0,0.3372084442487012,118,10054.0
395.0,121,10617.0,45.96103896103896,6.1183076319150365,121,10627.0,0.341950211061417,121,10627.0
